                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.524,                 4.3754,                 4.3312,                0.00198,                0.19286,                0.00152,                0.00042,                 3.6522,                 4.5818,                 4.1591,                  7e-05,                  7e-05,                  7e-05
                      2,                 3.5132,                  4.423,                 4.2908,                0.00221,                0.20079,                0.00201,                 0.0005,                 3.6513,                 4.5843,                  4.159,             0.00014901,             0.00014901,             0.00014901
                      3,                 3.5162,                 4.3353,                 4.2241,                0.00243,                0.21149,                0.00303,                0.00064,                 3.6501,                  4.586,                 4.1595,             0.00022696,             0.00022696,             0.00022696
                      4,                 3.5028,                 4.1801,                 4.1762,                0.00251,                0.21567,                0.00337,                0.00071,                 3.6474,                 4.5861,                   4.16,             0.00030386,             0.00030386,             0.00030386
                      5,                 3.4878,                 4.0979,                   4.13,                 0.0023,                 0.1964,                0.00268,                0.00061,                 3.6349,                 4.5751,                 4.1541,              0.0003797,              0.0003797,              0.0003797
                      6,                 3.3029,                 4.0456,                 4.0466,                0.00235,                0.20087,                0.00293,                0.00071,                 3.6092,                 4.5595,                 4.1383,             0.00045449,             0.00045449,             0.00045449
                      7,                 3.3172,                 3.8872,                 3.9547,                0.00185,                0.17035,                0.00162,                0.00042,                 3.6718,                   4.65,                 4.1969,             0.00052822,             0.00052822,             0.00052822
                      8,                 3.2001,                 3.8117,                 3.9033,                0.00229,                0.18457,                0.00157,                0.00053,                 3.7139,                 4.7558,                 4.2596,             0.00060089,             0.00060089,             0.00060089
                      9,                 3.2937,                 3.7772,                 3.8486,                0.00227,                0.20541,                0.00193,                0.00041,                 3.7227,                 4.8373,                 4.3052,             0.00067251,             0.00067251,             0.00067251
                     10,                 3.2089,                 3.7675,                 3.7975,                 0.0022,                0.17455,                  0.002,                0.00044,                 3.7096,                 4.8979,                 4.3388,             0.00074307,             0.00074307,             0.00074307
                     11,                 3.1188,                 3.6002,                 3.6894,                0.00272,                0.16146,                0.00199,                0.00044,                 3.6897,                 4.8873,                 4.3567,             0.00081258,             0.00081258,             0.00081258
                     12,                 3.0334,                  3.602,                 3.6292,                0.00299,                0.12504,                 0.0023,                0.00055,                 3.6758,                 5.0267,                 4.4671,             0.00088103,             0.00088103,             0.00088103
                     13,                 2.9745,                 3.5012,                 3.5903,                0.00357,                 0.0857,                0.00443,                 0.0008,                 3.6645,                 5.1397,                 4.6123,              0.0009208,              0.0009208,              0.0009208
