                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2676,                 4.8832,                  4.208,                0.00048,                0.06128,                0.00033,                  8e-05,                 4.4933,                 5.1257,                 4.1592,             0.00035944,             0.00035944,             0.00035944
                      2,                 3.9111,                 4.3083,                 3.9312,                0.00048,                0.03927,                0.00026,                  8e-05,                 4.5731,                 5.2734,                 4.2194,             0.00072737,             0.00072737,             0.00072737
                      3,                 3.2597,                 3.8048,                 3.4257,                0.00056,                0.04832,                0.00036,                  8e-05,                 4.6165,                 5.2088,                  4.267,              0.0010928,              0.0010928,              0.0010928
                      4,                 2.9681,                 3.3643,                 2.9265,                0.63066,                 0.0255,                0.01577,                0.00535,                 3.1549,                 3.9174,                 2.9395,                 0.0011,                 0.0011,                 0.0011
                      5,                  2.645,                 2.9806,                 2.6205,                0.58312,                0.15405,                0.13058,                0.05859,                  2.362,                 3.2469,                 2.3809,                 0.0011,                 0.0011,                 0.0011
                      6,                  2.477,                 2.7367,                  2.423,                0.73899,                0.12455,                0.09631,                0.04593,                 2.3651,                 3.5743,                 2.3628,              0.0010963,              0.0010963,              0.0010963
                      7,                 2.3076,                 2.4522,                 2.2188,                0.83512,                0.18832,                0.21697,                0.09338,                 2.2312,                 2.6665,                 2.2601,              0.0010927,              0.0010927,              0.0010927
                      8,                 2.1876,                 2.3041,                 2.1728,                0.71589,                0.23839,                0.27095,                  0.144,                 1.9266,                 2.0098,                 2.0012,               0.001089,               0.001089,               0.001089
                      9,                 2.1808,                 2.2123,                 2.0795,                0.77518,                0.22129,                0.16679,                0.08814,                 1.9071,                 5.3199,                 1.9965,              0.0010853,              0.0010853,              0.0010853
                     10,                 2.0681,                 2.0537,                 2.0187,                0.90098,                0.19134,                0.24413,                 0.1272,                 1.8967,                  2.118,                 1.9356,              0.0010817,              0.0010817,              0.0010817
